feature,gain,split
feature_06,754618.8014984131,369
feature_36,286790.52447509766,282
feature_07,247207.45446777344,388
feature_04,245871.72132110596,260
feature_59,240145.9797515869,450
feature_60,178946.077003479,374
feature_13,144305.91152191162,199
feature_54__ewm16,141555.53077697754,311
feature_68__ewm16,133401.80673217773,305
feature_05__rz968,128496.41325378418,323
feature_08__ewm968,125669.99897766113,362
feature_60__diff16,118991.24006652832,248
feature_04__ewm16,117043.12783050537,227
feature_08__ewm256,115079.86785125732,330
feature_51__ewm16,110649.25184631348,202
feature_07__ewm16,108558.72277832031,280
feature_03__ewm64,102538.01811981201,258
feature_04__rz968,100492.36753845215,183
feature_07__rz968,99997.07125854492,253
feature_61__ret64,99148.42427062988,276
feature_05__ewm968,91515.84008026123,245
feature_07__rz256,89948.64797973633,202
feature_08__ewm64,88939.27011871338,247
feature_08__ewm100,88679.16384887695,243
feature_61__lag968,87713.67817687988,204
feature_61__diff64,86606.63917541504,239
feature_38__rz968,85960.74597167969,240
feature_02__ewm100,85766.45485687256,230
responder_2_prevday_std,85109.23759460449,205
feature_06__ewm64,84872.58888244629,218
feature_61__diff16,84272.06192016602,215
feature_56,84209.8272781372,181
feature_52,83515.87998962402,130
feature_25__diff64,83150.10522460938,231
feature_56__ewm16,82912.75207519531,178
feature_07__ewm100,82716.32508087158,227
feature_30__lag968,82513.37784576416,159
feature_48,82120.04670715332,182
feature_33__ewm16,81826.5259475708,218
feature_55__ewm64,80687.24493408203,214
feature_61__ret100,80250.71908569336,213
feature_31,79977.91619873047,170
feature_38__ewm968,79457.97898101807,228
feature_21__diff64,79084.63107299805,223
feature_71__ewm16,78546.73886108398,181
feature_61__ret16,77771.10534667969,190
feature_01__ewm256,77602.04089355469,230
feature_24__diff64,76992.7400970459,214
feature_07__rz100,75542.40203857422,176
feature_01__ewm968,75526.38005828857,207
feature_58__diff16,75248.1190032959,140
feature_51,74546.50749969482,164
feature_20__diff64,74501.58298492432,213
feature_58,73911.24925231934,199
feature_05__diff64,73570.41360473633,210
feature_55__ewm16,73453.79640197754,170
feature_04__ewm968,72884.17009735107,201
feature_05__ewm16,72367.57881164551,224
feature_38,72131.71817016602,207
feature_01__ewm64,72018.1358718872,211
feature_20__ret64,71791.04195404053,215
responder_1_close_roll60_std,71169.49914550781,208
feature_58__diff256,70684.74206542969,182
feature_04__ewm64,70626.17714691162,197
feature_17__ewm16,70186.35079956055,127
feature_24__diff16,70130.84579467773,174
responder_6_prevday_mean,69837.11740112305,154
feature_38__ewm100,69762.05814361572,193
feature_30__ewm968,69710.78608703613,148
feature_03__ewm968,69415.90295410156,185
feature_61__ret256,69399.2398071289,211
responder_3_prevday_std,69291.12436676025,161
feature_30,69129.44395446777,136
feature_31__diff64,69082.81913757324,188
