feature,gain,split
feature_06,93089.88159179688,89
feature_36,42613.706787109375,60
responder_4_prevday_std,40211.36218261719,19
responder_2_prev_tail_d2,37078.67510986328,11
responder_6_prevday_std,36220.74008178711,30
feature_60,30840.177017211914,49
feature_58__ewm256,30518.359893798828,38
responder_1_close_roll5_std,28499.546020507812,21
feature_29__rz100,27996.56512451172,15
responder_3_prevday_std,27595.761932373047,30
feature_04,27297.434112548828,28
responder_2_prev_tail_lag3,27051.372985839844,26
responder_0_close_roll20_std,25598.809112548828,20
responder_4_close_roll5_std,25317.231018066406,7
responder_5_close_roll60_std,24891.29867553711,12
feature_24__diff968,24360.985137939453,25
feature_59,23998.96873474121,41
feature_31,23128.549682617188,10
feature_61__diff64,22300.82699584961,42
responder_2_close_roll5_std,21780.748931884766,17
responder_0_close_roll60_std,21166.47315979004,23
feature_26__diff968,21053.321044921875,23
responder_8_close_roll60_mean,20854.70018005371,17
feature_05__ewm16,20840.381744384766,43
feature_61__lag968,20786.263916015625,35
responder_1_prevday_std,20275.052810668945,18
feature_25__rz968,18224.268310546875,10
responder_8_prevday_std,17812.549194335938,23
feature_52,17652.764190673828,17
responder_8_prevday_mean,17066.118041992188,12
feature_23__lag968,16999.904174804688,15
feature_21__diff64,16632.677001953125,37
feature_31__rz968,16348.02603149414,13
responder_3_close_roll5_std,16090.268051147461,16
feature_61__ret64,15698.177001953125,34
responder_2_close_roll60_std,15487.24496459961,26
feature_04__ewm16,15486.46792602539,28
responder_7_prevday_close_minus_mean,15239.009033203125,27
feature_56__rz968,15219.483093261719,17
feature_24__lag968,15160.35385131836,11
feature_24__rz968,14887.943084716797,17
feature_20__diff968,14709.341064453125,9
feature_22,14404.117950439453,15
feature_55__ewm16,13909.90298461914,29
responder_8_close_roll5_std,13763.296447753906,10
feature_31__diff64,13612.19613647461,26
feature_61__ewm968,13285.472076416016,25
feature_25__diff64,13213.352996826172,26
feature_37__ewm968,13182.852966308594,27
responder_7_prevday_mean,12980.461929321289,24
responder_5_prev_tail_lag5,12979.405853271484,14
feature_65__ewm968,12747.216796875,10
feature_61__diff16,12625.438049316406,29
responder_5_prevday_mean,12585.36685180664,17
feature_61__ret256,12121.514953613281,24
feature_26__diff64,11993.597930908203,24
feature_23__ewm968,11874.051055908203,8
feature_04__ewm64,11762.621124267578,24
responder_2_close_roll20_std,11741.052947998047,22
responder_1_prev_tail_d2,11684.325134277344,13
feature_58__ewm100,11393.420013427734,23
feature_25__diff16,11382.693939208984,18
feature_05__ewm968,11341.289962768555,19
feature_01__diff968,11300.441986083984,19
feature_54__ewm16,11284.536026000977,21
feature_07,11254.954940795898,26
responder_1_close_roll60_std,11238.982986450195,22
feature_22__lag968,11078.68685913086,9
responder_6_prevday_close_minus_mean,11006.835021972656,13
feature_26__rz968,10986.882781982422,6
feature_61__diff968,10936.970916748047,16
feature_22__diff16,10903.081024169922,24
responder_7_prevday_std,10681.96696472168,19
feature_61__diff100,10645.192016601562,23
feature_19__ewm256,10637.760025024414,21
feature_19__ewm16,10632.829956054688,17
feature_07__rz968,10609.93000793457,21
feature_31__diff100,10606.200012207031,26
feature_50__ewm968,10579.298095703125,20
feature_38__ewm968,10514.762939453125,21
feature_30__rz968,10401.055908203125,7
feature_26__ret100,10393.612976074219,18
feature_05__ewm256,10142.742980957031,20
feature_61__diff256,10125.50602722168,19
feature_56__ewm16,10028.92611694336,13
feature_13,9984.742950439453,7
feature_30,9917.884185791016,7
feature_07__ewm256,9800.640014648438,19
feature_43__ewm968,9760.74398803711,15
feature_24__diff16,9756.350860595703,20
feature_56,9747.822814941406,13
feature_08__ewm64,9652.074005126953,16
feature_08__ewm968,9595.717987060547,21
feature_22__diff968,9465.251953125,10
feature_42__ewm968,9417.031982421875,18
feature_52__lag1,9402.196899414062,8
feature_08__ewm256,9333.552047729492,21
feature_27__ret100,9222.61508178711,15
feature_27__diff64,9200.064987182617,21
feature_63__ewm968,9196.51889038086,11
feature_22__ewm256,9182.72607421875,10
responder_4_prev2day_close,9137.52993774414,16
responder_0_close_roll5_std,9131.820816040039,12
feature_27__ret64,9060.368041992188,19
feature_61,9006.49789428711,11
feature_34__diff968,8990.730010986328,11
feature_24__ret64,8897.249969482422,19
feature_61__rz256,8888.098907470703,17
feature_28__ret64,8883.4990234375,21
feature_16__ewm16,8705.310943603516,10
responder_4_prevday_mean,8679.208068847656,13
feature_21__rz968,8662.751068115234,12
responder_8_prev_tail_lag5,8647.153991699219,14
feature_26__diff100,8571.02505493164,18
responder_2_prevday_close_minus_mean,8562.382019042969,6
