epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,1.4689922332763672,,,,,
0,99,,1.4439200162887573,,,,,
0,149,,1.396238088607788,,,,,
0,199,,1.4446290731430054,,,,,
0,249,,1.44657301902771,,,,,
0,299,,1.4205697774887085,,,,,
0,349,,1.4402904510498047,,,,,
0,399,,1.4372225999832153,,,,,
0,449,,1.4144511222839355,,,,,
0,499,,1.431539535522461,,,,,
0,549,,1.4538893699645996,,,,,
0,599,,1.4157729148864746,,,,,
0,649,,1.4181768894195557,,,,,
0,699,,1.4180670976638794,,,,,
0,749,,1.4121239185333252,,,,,
0,799,,1.4072110652923584,,,,,
0,849,,1.4225225448608398,,,,,
0,852,,,0.6700674891471863,25.015939712524414,0.8822124004364014,1.421409249305725,1.421409249305725
0,852,1.4334461688995361,,,,,,
1,899,,1.4111440181732178,,,,,
1,949,,1.440718650817871,,,,,
1,999,,1.4727554321289062,,,,,
1,1049,,1.419783353805542,,,,,
1,1099,,1.4296674728393555,,,,,
1,1149,,1.422846794128418,,,,,
1,1199,,1.4332702159881592,,,,,
1,1249,,1.4723981618881226,,,,,
1,1299,,1.456001877784729,,,,,
1,1349,,1.4119679927825928,,,,,
1,1399,,1.426360845565796,,,,,
1,1449,,1.4390456676483154,,,,,
1,1499,,1.444579839706421,,,,,
1,1549,,1.4611217975616455,,,,,
1,1599,,1.4123830795288086,,,,,
1,1649,,1.4341309070587158,,,,,
1,1699,,1.4424021244049072,,,,,
1,1705,,,0.6834283471107483,28.164813995361328,0.8946231603622437,1.4213606119155884,1.4213606119155884
1,1705,1.4293429851531982,,,,,,
2,1749,,1.4074041843414307,,,,,
2,1799,,1.4351017475128174,,,,,
2,1849,,1.4228955507278442,,,,,
2,1899,,1.4306771755218506,,,,,
2,1949,,1.4044015407562256,,,,,
2,1999,,1.4103281497955322,,,,,
2,2049,,1.435673713684082,,,,,
2,2099,,1.4247361421585083,,,,,
2,2149,,1.3832294940948486,,,,,
